TIPO_PRODUTO;NOME_PRODUTO;DATA_FINALIZACAO_PROCESSO;CATEGORIA_REGULATORIA;NUMERO_REGISTRO_PRODUTO;DATA_VENCIMENTO_REGISTRO;NUMERO_PROCESSO;CLASSE_TERAPEUTICA;EMPRESA_DETENTORA_REGISTRO;SITUACAO_REGISTRO;PRINCIPIO_ATIVO
"MEDICAMENTO";"TENOBIO";"31/03/2003";"Similar";116540064;"032013";"25351166352200248";"ANTINFLAMATORIOS";"54433057000103 - BIOFARMA FARMACÊUTICA LTDA";"Inativo";"tenoxicam"
"MEDICAMENTO";"ARCOXIA";"06/03/2002";"Novo";100290035;"032027";"253510275160105";"ANTINFLAMATORIOS ANTIREUMATICOS";"45987013000134 - ORGANON FARMACÊUTICA LTDA.";"Ativo";"etoricoxibe"
"MEDICAMENTO";"BESILATO DE LEVANLODIPINO";"05/02/2018";"Genérico";126750307;"022028";"25351689684201782";"ANTI-HIPERTENSIVOS SIMPLES";"72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A";"Inativo";"besilato de levanlodipino"
"MEDICAMENTO";"DESCON PAR";"12/11/2018";"Similar";178170865;"112028";"25351223638201714";"ANALGESICOS NAO NARCOTICOS";"61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.";"Inativo";"paracetamol, cloridrato de fenilefrina"
"MEDICAMENTO";"ERMOGINA";"09/11/2000";"Similar";108860008;"112001";"250000101109040";"ANALGESICOS NAO NARCOTICOS";"51077527000155 - ERMON LABORATÓRIO FARMACÊUTICO LTDA";"Inativo";"dipirona"
"MEDICAMENTO";"N?O DECLARADO";"12/11/2013";"DINAMIZADO";;;;;"60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA";"Ativo";
"MEDICAMENTO";"OSTEOFIX S";"11/05/2009";"BAIXO RISCO";;;;;"02456955000183 - NATULAB LABORATORIO S.A";"Inativo";
"MEDICAMENTO";"TINTURA DE IODO";"11/02/2009";"BAIXO RISCO";;;;;"02686619000127 - PRODUTOS OFICINAIS AVANTE LTDA";"Inativo";
"MEDICAMENTO";"ATENEUM";"10/01/2011";;172870173;"062014";"25351240186201051";"BETABLOQUEADORES SIMPLES";"02932074000191 - HYPERA S.A.";"Inativo";"atenolol"
"MEDICAMENTO";"DUTASTERIDA";"08/09/2026";"Genérico";123520305;"092036";"25351544720202328";"INIBIDOR DA ALFA-REDUTASE";"73663650000190 - RANBAXY FARMACÊUTICA LTDA";"Ativo";"dutasterida"
"MEDICAMENTO";"FATOR IX DE COAGULAÇÃO";"27/11/1995";;139710007;"112010";"250000147669528";"SANGUE, DERIVADOS E SUBSTITUTOS EXCETO IMUNOPROTECAO";"02552927000160 - OCTAPHARMA BRASIL LTDA";"Inativo";"fator ix"
"MEDICAMENTO";"HIDROXIDO DE ALUMINIO + HIDROXIDO DE MAGNESIO + DIMETICONA";"20/06/2002";"Similar";102160088;"042005";"253510857735518";"ANTIACIDOS E ANTIULCEROSOS ASSOCIADOS";"46070868003699 - LABORATÓRIOS PFIZER LTDA";"Inativo";
"MEDICAMENTO";"MALEATO DE DEXCLORFENIRAMINA + BETAMETASONA";"16/01/2006";"Genérico";143810099;"012036";"25351429210200540";"ANTI-HISTAMINICOS SISTEMICOS";"02814497000107 - CIMED INDUSTRIA S.A";"Ativo";"maleato de dexclorfeniramina, betametasona"
"MEDICAMENTO";"POSICOR SIN";"10/04/2017";"Similar";109740235;"042027";"25351590316201605";"ANTILIPEMICOS";"49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA";"Ativo";"ezetimiba, sinvastatina"
"MEDICAMENTO";"TOBRACORT";"02/02/2001";"Similar";148690006;"022006";"253510233670016";"GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA";"03436841000134 - FORMIL FARMACÊUTICA LTDA";"Inativo";"tobramicina, dexametasona"
"MEDICAMENTO";"VACINA CONTRA RAIVA USO HUMANO";"03/03/2008";"Biológico";122340038;"032028";"25351077329200611";"VACINAS";"61821344000156 - INSTITUTO BUTANTAN";"Ativo";"vírus rábico inativado"
"MEDICAMENTO";"BE BETTER GLICONATO CLOREXIDINA 1%";"04/03/2020";"BAIXO RISCO";;"032030";;;"60879848000164 - LABORATORIO TAYUYNA LTDA";"Ativo";
"MEDICAMENTO";"DEPRASIL";"10/06/2014";"Similar";101070305;"062019";"25351503668201004";"ANTIDEPRESSIVOS";"33247743000110 - GLAXOSMITHKLINE BRASIL LTDA";"Inativo";"cloridrato de duloxetina"
"MEDICAMENTO";"ENO PASTILHAS MASTIGÁVEIS FRUTAS SORTIDAS";"27/07/2023";"BAIXO RISCO";;"072033";;;"30872270000404 - PF CONSUMER HEALTHCARE BRAZIL IMPORTADORA E DISTRIBUIDORA DE ME";"Inativo";
"MEDICAMENTO";"ENTECAVIR";"11/06/2018";"Genérico";112090141;"062028";"25351624898201711";"ANTIVIROTICOS (INIBE REPLICACAO VIROTICA)";"17503475000101 - FUNDAÇÃO EZEQUIEL DIAS - FUNED";"Ativo";"entecavir monoidratado"
"MEDICAMENTO";"GLICONATO DE CALCIO";"17/10/2011";;189000041;"042017";"25351388972201114";"REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL";"13382686000174 - ARISTON INDÚSTRIAS QUÍMICAS E FARMACÊUTICAS LTDA";"Inativo";"gliconato de cálcio"
"MEDICAMENTO";"LERCAN";"17/10/2022";"Similar";118190406;"032027";"25351065477202203";"ANTI-HIPERTENSIVOS";"92265552000905 - MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA";"Inativo";"cloridrato de lercanidipino"
"MEDICAMENTO";"MALATO DE SUNITINIBE";"01/07/2024";"Genérico";182610019;"072034";"25351595075202221";"ANTINEOPLASICO";"08157293000127 - NATCOFARMA DO BRASIL LTDA";"Ativo";"malato de sunitinibe"
"MEDICAMENTO";"MELOXICAM";"28/11/2016";"Genérico";126750235;"112026";"25351341859201510";"ANTINFLAMATORIOS";"72593791000111 - NOVA QUIMICA FARMACÊUTICA S/A";"Inativo";"meloxicam"
"MEDICAMENTO";"MESNA";"27/04/2026";"Genérico";110110039;"102035";"25351232876202521";"PRODUTOS PARA VIAS URINARIAS";"59088333000167 - NEWCOM FARMACEUTICA LTDA.";"Ativo";"mesna"
"MEDICAMENTO";"NAXOTEC";"07/02/2011";"Similar";104971364;"072027";"25351707997200839";"ANTINFLAMATORIOS";"60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A";"Ativo";"naproxeno"
"MEDICAMENTO";"PEITORAL MARTEL";"01/01/2003";"Similar";116800005;;"2500102082584";"EXPECTORANTES BALSAMICOS E MUCOLITICO";"90455262000133 - LABORATÓRIOS GALENOGAL LTDA";"Inativo";"guaifenesina, extrato fluido de agrião (nasturtium officinale), extrato fluido de guaco (mikania glomerata), seiva pinho"
"MEDICAMENTO";"SCAFLAM";"20/10/1999";"Similar";100930174;"052010";"250000097318956";"ANTINFLAMATORIOS";"33060740000172 - MANTECORP INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A.";"Inativo";"nimesulida"
"MEDICAMENTO";"TIBOLONA";"02/01/2017";"Genérico";105830857;"012027";"25351421448201680";"OUTROS PRODUTOS PARA USO EM GINECOLOGIA E OBSTETRICIA";"45992062000165 - GERMED FARMACEUTICA LTDA";"Ativo";"tibolona"
"MEDICAMENTO";"TROK-N";"31/01/2003";"Similar";100430824;"012028";"25351192715200209";"GLICOCORTICOIDES TOPICOS - ASSOCIACAO MEDICAMENTOSA";"61190096000192 - EUROFARMA LABORATORIOS S.A.";"Ativo";"cetoconazol, dipropionato de betametasona, sulfato de neomicina"
"MEDICAMENTO";"VALMANE";"15/06/2001";"Fitoterápico";106390165;"032010";"250000164548857";"FITOTERAPICO SIMPLES";"60499639000195 - ABBOTT PRODUTOS PARA SAÚDE LTDA.";"Inativo";"valeriana officinalis l."
"MEDICAMENTO";"ALBUMINA HUMANA 20% BIOTEST";"20/10/1999";"Novo";109140007;"102014";"2500100725686";"FRACOES DO SANGUE OU PLASMA EXCETO GAMAGLOBULINA";"33348731000181 - BIOTEST FARMACÊUTICA LTDA";"Inativo";"albumina humana"
"MEDICAMENTO";"BICARSOD";"14/05/2016";"BAIXO RISCO";;;;;"84712579000105 - KRESS FARMACEUTICA S.A.";"Ativo";
"MEDICAMENTO";"CLEXANE";"10/06/2019";"Biológico";183260336;"102027";"25351189671201970";"ANTITROMBOTICO";"10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.";"Ativo";"enoxaparina sódica"
"MEDICAMENTO";"CONCÁRDIO";"20/06/2011";"Similar";102351033;"062021";"25351461761200760";"BETABLOQUEADORES SIMPLES";"57507378000365 - EMS S/A";"Inativo";"hemifumarato de bisoprolol"
"MEDICAMENTO";"N?O DECLARADO";"27/01/2016";"DINAMIZADO";;"012026";;;"60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA";"Ativo";
"MEDICAMENTO";"N?O DECLARADO";"05/11/2013";"DINAMIZADO";;;;;"60862208000141 - FARMACIA E LABORATORIO HOMEOPATICO ALMEIDA PRADO LTDA";"Ativo";
"MEDICAMENTO";"PARACETAMOL 750 MG (COMPRIMIDO REVESTIDO)";"31/07/2026";"BAIXO RISCO";;"072036";;;"62946352000191 - MEDLEY FARMACEUTICA LTDA";"Inativo";
"MEDICAMENTO";"SULFATO DE TERBUTALINA";"12/01/2009";"Genérico";120190142;"012029";"25351028119200772";"BRONCODILATADORES";"33408105000133 - GREENPHARMA QUÍMICA E FARMACÊUTICA LTDA";"Ativo";"sulfato de terbutalina"
"MEDICAMENTO";"TRICOGEN";"02/02/2009";"Similar";105830621;"022014";"25351099829200868";"PRODUTOS GINECOLOGICOS TOPICOS";"45992062000165 - GERMED FARMACEUTICA LTDA";"Inativo";"benzoilmetronidazol, nistatina, cloreto de benzalcônio"
"MEDICAMENTO";"BIOASSEPT GEL";"16/02/2011";"BAIXO RISCO";;;;;"04506487000130 - HELIANTO FARMACEUTICA LTDA";"Ativo";
"MEDICAMENTO";"DESTYC";"01/04/2019";"Similar";137640176;"042029";"25351497153201765";"ANTIDEPRESSIVOS";"02433631000120 - ASPEN PHARMA INDÚSTRIA FARMACÊUTICA LTDA";"Inativo";"succinato de desvenlafaxina monoidratado"
"MEDICAMENTO";"DICLORIDRATO DE LEVOCETIRIZINA";"25/05/2015";"Genérico";100431124;"052035";"25351711337201409";"ANTIALERGICOS";"61190096000192 - EUROFARMA LABORATORIOS S.A.";"Ativo";"dicloridrato de levocetirizina"
"MEDICAMENTO";"DICLORIDRATO DE LEVOCETIRIZINA";"31/03/2025";"Genérico";105350250;"032035";"25351008498202566";"ANTIALERGICOS";"17115437000173 - LABORATÓRIO GLOBO SA";"Ativo";"dicloridrato de levocetirizina"
"MEDICAMENTO";"DIPINAL";"17/07/2000";"Similar";115600066;"072010";"250000469969961";"ANTIANGINOSOS E VASODILATADORES";"17562075000169 - CIFARMA CIENTÍFICA FARMACÊUTICA LTDA";"Inativo";"nifedipina"
"MEDICAMENTO";"ELCODRIX DC";"04/02/2002";"Similar";141070045;"022027";"250000327199953";"ANALGESICOS";"02501297000102 - PHARLAB INDÚSTRIA FARMACÊUTICA S.A.";"Inativo";"paracetamol, cafeína"
"MEDICAMENTO";"KALOCAR";"24/09/2012";"BAIXO RISCO";;;;;"56930811000146 - LABORATÓRIO FARMACÊUTICO CARESSE LTDA ME";"Ativo";
"MEDICAMENTO";"NIMESULIDA";"03/10/2022";"Genérico";118190384;"112026";"25351065435202264";"ANTINFLAMATORIOS";"92265552000905 - MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA";"Ativo";"nimesulida"
"MEDICAMENTO";"POLARG";"17/04/2017";"Similar";177940031;"042027";"25351367449201671";"EXPECTORANTES";"09545589000188 - MABRA FARMACEUTICA LTDA";"Inativo";"maleato de dexclorfeniramina, sulfato de pseudoefedrina, guaifenesina"
"MEDICAMENTO";"CLORIDRATO DE BENZIDAMINA";"04/09/1997";"Similar";107140203;"092002";"250000408849672";"ANTINFLAMATORIOS";"61068755000708 - SANVAL COMERCIO E INDUSTRIA LTDA";"Inativo";
"MEDICAMENTO";"EMPAVELI";"24/03/2025";"Novo";139000007;"072033";"25351018161202567";"OUTROS PRODS  NAO ENQUADRADOS EM CLASSE TERAPEUTICA ESPECIF";"21896000000191 - PINT PHARMA PRODUTOS MEDICO-HOSPITALARES E FARMACEUTICOS LTDA";"Ativo";"pegcetacoplana"
"MEDICAMENTO";"FOLIFER FERRO";"21/01/2008";"Específico";118610258;"012018";"25351597341200711";"ANTIANEMICOS";"64088172000141 - ATIVUS FARMACÊUTICA LTDA";"Inativo";"ferro aminoácido quelato, bisglicinato ferroso"
"MEDICAMENTO";"MALEATO DE ENALAPRIL + HIDROCLOROTIAZIDA";"05/10/2004";"Genérico";100890310;"102014";"25351062213200327";"ANTI-HIPERTENSIVOS-ASSOCIACOES MEDICAMENTOSAS";"33069212000184 - MERCK S/A";"Inativo";"maleato de enalapril, hidroclorotiazida"
"MEDICAMENTO";"ÓLEO MINERAL";"26/10/2007";"BAIXO RISCO";;;;;"03869526000109 - J.R.D. INDÚSTRIA FARMACÊUTICA LTDA.";"Inativo";
"MEDICAMENTO";"TROMETAMOL CETOROLACO";"16/05/2022";"Genérico";105831017;"052032";"25351522391202283";"ANTINFLAMATORIOS";"45992062000165 - GERMED FARMACEUTICA LTDA";"Ativo";"trometamol cetorolaco "
"MEDICAMENTO";"VINCRISTITA";"01/11/2000";"Similar";112830060;"102010";"250000203029711";"ANTINEOPLASICO";"52208733000110 - LABORATORIO ITAFARMA LTDA";"Inativo";"sulfato de vincristina"
"MEDICAMENTO";"ALBENDAZOL";"13/05/2013";"Genérico";112130396;;"25351302972200761";"ANTI-HELMINTICOS DO TRATO GASTRINTESTINAL";"53162095000106 - BIOSINTÉTICA FARMACÊUTICA LTDA";"Ativo";
"MEDICAMENTO";"CLORIDRATO DE DONEPEZILA";"08/08/2022";"Genérico";118190320;"032030";"25351065372202246";"OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO";"92265552000905 - MULTILAB INDUSTRIA E COMERCIO DE PRODUTOS FARMACEUTICOS LTDA";"Ativo";"cloridrato de donepezila"
"MEDICAMENTO";"FARMANGUINHOS - AMOXICILINA";"28/08/2006";"Similar";110630118;"082016";"25351229282200599";"PENICILINA DE AMPLO ESPECTRO";"33781055000135 - FUNDAÇÃO OSWALDO CRUZ";"Inativo";"amoxicilina tri-hidratada, amoxicilina trihidratada"
"MEDICAMENTO";"GLICOSE";"12/07/2001";"Similar";104970136;"112003";"2599100777378";"OUTRAS SOL P/ REPOS  HIDROELETROLITICA E ALIM  PARENTERAL";"60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A";"Inativo";
"MEDICAMENTO";"KALOPÉ";"04/10/2016";"BAIXO RISCO";;;;;"05127216000136 - NORTIS FARMACEUTICA LTDA EPP";"Ativo";
"MEDICAMENTO";"PACLITAX";"20/12/1994";"Similar";100430516;"122019";"250000183329316";"ANTINEOPLASICOS CITOTOXICOS";"61190096000192 - EUROFARMA LABORATORIOS S.A.";"Inativo";"paclitaxel, etanol"
"MEDICAMENTO";"PARACETAMOL";"16/09/2019";"Genérico";105350211;"092029";"25351355599201985";"ANALGESICOS NAO NARCOTICOS";"17115437000173 - LABORATÓRIO GLOBO SA";"Inativo";"paracetamol"
"MEDICAMENTO";"PERDAMA";"02/08/2021";"Similar";194270106;"082031";"25351087599202081";"ESTROGENOS ASSOCS  A OUTROS FARMACOS EXCLUSIVE ANDROGENOS";"14806008000154 - MOMENTA FARMACÊUTICA LTDA.";"Inativo";"estradiol hemi-hidratado, drospirenona"
"MEDICAMENTO";"RESFEC";"05/08/2019";"Similar";104810154;"082029";"25351654698201866";"ANALGESICOS";"48113906000149 - 1FARMA INDUSTRIA FARMACEUTICA LTDA";"Ativo";"paracetamol"
"MEDICAMENTO";"TIOCONAZOL + TINIDAZOL";"20/04/2009";"Genérico";105350154;"042029";"25351064661200870";"ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS";"17115437000173 - LABORATÓRIO GLOBO SA";"Ativo";"tioconazol, tinidazol"
"MEDICAMENTO";"TYNEO";"24/01/2011";;172870298;"072012";"25351262395201047";"ANALGESICOS";"02932074000191 - HYPERA S.A.";"Inativo";"paracetamol"
"MEDICAMENTO";"VASELINA LIQUIDA";"29/07/2008";"BAIXO RISCO";;;;;"30332829000152 - HEMAFARMA COM. E IND. FARM. LTDA";"Inativo";
"MEDICAMENTO";"AROMASIN";"15/09/2004";;102160141;"042020";"25351025961200418";"ANTINEOPLASICO";"46070868003699 - LABORATÓRIOS PFIZER LTDA";"Inativo";"exemestano"
"MEDICAMENTO";"CETOCONAZOL + DIPROPIONATO DE BETAMETASONA + SULFATO DE NEOMICINA";"14/02/2011";;167730249;"102020";"25351661732201011";"ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS";"05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA";"Inativo";"cetoconazol, dipropionato de betametasona, sulfato de neomicina"
"MEDICAMENTO";"COGNEN";"03/10/2022";"Similar";156650004;"102032";"25351335686202211";"OUTROS PRODUTOS QUE ATUAM SOBRE O SISTEMA NERVOSO";"05090043000129 - DROXTER INDUSTRIA, COMÉRCIO E PARTICIPAÇÕES LTDA";"Inativo";"vimpocetina"
"MEDICAMENTO";"DESOGESTREL";"26/11/2012";"Genérico";100330172;"112017";"25351727936201121";"ANTICONCEPCIONAIS";"61230314000175 - LIBBS FARMACÊUTICA LTDA";"Inativo";"desogestrel"
"MEDICAMENTO";"DIN";"08/09/2008";;172870041;"032011";"25351139490200840";"ANALGESICOS NAO NARCOTICOS";"02932074000191 - HYPERA S.A.";"Inativo";"paracetamol"
"MEDICAMENTO";"ESTROGENIOS CONJUGADOS";"06/10/1997";"Similar";103022023;"102002";"250000348999665";"HORMONIOS SEXUAIS EXCLUSIVE OCITOCICOS";"43590900000149 - VIRTUS INDUSTRIA E COMERCIO LTDA";"Inativo";
"MEDICAMENTO";"GABAPENTINA";"10/03/2025";"Genérico";100431530;"032035";"25351440783202497";"ANTICONVULSIVANTES";"61190096000192 - EUROFARMA LABORATORIOS S.A.";"Ativo";"gabapentina"
"MEDICAMENTO";"GLIBENCLAMIDA";"25/10/1995";"Similar";104970171;"102005";"2500100289387";"ANTIDIABETICOS";"60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A";"Inativo";
"MEDICAMENTO";"LEVETIRACETAM";"02/09/2024";"Genérico";101180660;"092034";"25351372759202337";"ANTICONVULSIVANTES";"62462015000129 - APSEN FARMACEUTICA S/A";"Ativo";"levetiracetam"
"MEDICAMENTO";"LEVOX";"23/01/2006";"Similar";142770025;"012011";"25351254663200514";"ANTIBIOTICOS SISTEMICOS SIMPLES";"02455073000101 - CLARIS PRODUTOS FARMACÊUTICOS DO BRASIL LTDA";"Inativo";"levofloxacino hemi-hidratado"
"MEDICAMENTO";"LTF- SALBUTAMOL";"08/05/2000";"Similar";122590012;"052010";"250000188169970";"BRONCODILATADORES";"24098477000896 - LABORATORIO DE TECNOLOGIA FARMACEUTICA";"Inativo";"salbutamol"
"MEDICAMENTO";"RINOSORO XT JET";"22/10/2020";"BAIXO RISCO";;"102030";;;"61082426001602 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.";"Ativo";
"MEDICAMENTO";"SIMETICONA";"09/09/2021";"BAIXO RISCO";;"092031";;;"60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A";"Inativo";
"MEDICAMENTO";"TINIDAZOL";"22/06/2015";"Genérico";183260251;"102025";"25351697732201447";"AMEBICIDAS, GIARDICIDAS E TRICOMONICIDAS";"10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.";"Inativo";"tinidazol"
"MEDICAMENTO";"VITÔNICO";"26/08/2002";"Específico";105830089;"072014";"2500100181183";"ESTIMULANTES DO APETITE";"45992062000165 - GERMED FARMACEUTICA LTDA";"Inativo";"sulfato ferroso, ácido fosfórico, elixir simples (farm. brasileira 2ª ed.), tintura de aloes, elixir, tintura de mirra, tintura de cravo da índia, noz moscada, tintura de canela"
"MEDICAMENTO";"AMPICILINA";"23/09/1996";"Similar";112330019;"092011";"250000275009644";"ANTIBIOTICOS SISTEMICOS SIMPLES";"00394429009914 - LABORATORIO QUIMICO FARMACEUTICO DA AERONAUTICA";"Inativo";
