7899000000001	MOUNJARO ELI	MOUNJARO	ELI	ELI LILLY
7899000000002	WEGOVY NND	WEGOVY	NND	NOVO NORDISK
7899000000003	FORXIGA AZN	FORXIGA	AZN	ASTRAZENECA
7899000000004	OZEMPIC NND	OZEMPIC	NND	NOVO NORDISK
7899000000005	GLIFAGE MER	GLIFAGE	MER	MERCK
7899000000006	RYBELSUS NND	RYBELSUS	NND	NOVO NORDISK
7899000000007	XIGDUO AZN	XIGDUO	AZN	ASTRAZENECA
7899000000008	JARDIANCE BOE	JARDIANCE	BOE	BOEHRINGER INGELHEIM
7899000000009	GLYXAMBI BOE	GLYXAMBI	BOE	BOEHRINGER INGELHEIM
7899000000010	POVIZTRA NND	POVIZTRA	NND	NOVO NORDISK
7899000000011	DEXILANT TKD	DEXILANT	TKD	TAKEDA PHARMA
7899000000012	INZELM TKD	INZELM	TKD	TAKEDA PHARMA
7899000000013	ENTEROGERMINA (OPE)	ENTEROGERMINA (OPE)		OPELLA
7899000000014	ENO HAL	ENO	HAL	HALEON
7899000000015	BUSCOPAN HYP	BUSCOPAN	HYP	HYPERA PHARMA
7899000000016	EDISTRIDE ACH	EDISTRIDE	ACH	ACHE LABORATORIOS FARMACEUTICOS SA
7899000000017	LUFTAL RB	LUFTAL	RB	RB
7899000000018	CLOR DE METFORMINA PRD	CLOR DE METFORMINA	PRD	PRATI DONADUZZI
7899000000019	NESINA HYP	NESINA	HYP	HYPERA PHARMA
7899000000020	VONAU BIO	VONAU	BIO	BIOLAB
7899000000021	DRAMIN HYP	DRAMIN	HYP	HYPERA PHARMA
7899000000022	EPOCLER HYP	EPOCLER	HYP	HYPERA PHARMA
7899000000023	OZIVY EMS	OZIVY	EMS	EMS PHARMA
7899000000024	REPOFLOR LEG	REPOFLOR	LEG	EMS PHARMA
7899000000025	TAMARINE HYP	TAMARINE	HYP	HYPERA PHARMA
7899000000026	XULTOPHY NND	XULTOPHY	NND	NOVO NORDISK
7899000000027	LANTUS SNF	LANTUS	SNF	SANOFI FARMACEUTICA
7899000000028	TRESIBA NND	TRESIBA	NND	NOVO NORDISK
7899000000029	FLORATIL FRQ	FLORATIL	FRQ	FARMOQUIMICA
7899000000030	DAPAGLIFLOZINA EMS	DAPAGLIFLOZINA	EMS	EMS PHARMA
7899000000031	INILOK APS	INILOK	APS	APSEN
7899000000032	DAPAGLIFLOZINA MDQ	DAPAGLIFLOZINA	MDQ	MEDQUIMICA
7899000000033	CITONEURIN P&G	CITONEURIN P&G		P&G
7899000000034	BASAGLAR ELI	BASAGLAR	ELI	ELI LILLY
7899000000035	SAXENDA NND	SAXENDA	NND	NOVO NORDISK
7899000000036	CONTRAVE MER	CONTRAVE	MER	MERCK
7899000000037	DAPAGLIFLOZINA MED	DAPAGLIFLOZINA	MED	MEDLEY
7899000000038	ESOMEPRAZOL EMS	ESOMEPRAZOL	EMS	EMS PHARMA
7899000000039	DAPAGLIFLOZINA EUR	DAPAGLIFLOZINA	EUR	EUROFARMA
7899000000040	PANTOPRAZOL SNF	PANTOPRAZOL	SNF	SANOFI FARMACEUTICA
7899000000041	STANGLIT LIB	STANGLIT	LIB	LIBBS FARMACEUTICA
7899000000042	ESOGASTRO EMS	ESOGASTRO	EMS	EMS PHARMA
7899000000043	XANTINON UNI	XANTINON	UNI	UNIAO QUIMICA
7899000000044	ORLISTATE EMS	ORLISTATE	EMS	EMS PHARMA
7899000000045	SUCRAFILM EMS	SUCRAFILM	EMS	EMS PHARMA
7899000000046	DIAMICRON SER	DIAMICRON	SER	SERVIER
7899000000047	CLOR DE ONDANSETRONA ALT	CLOR DE ONDANSETRONA	ALT	ALTHAIA
7899000000048	ESOMEPRAZOL RAN	ESOMEPRAZOL	RAN	RANBAXY
7899000000049	SIMETICONA MED	SIMETICONA	MED	MEDLEY
7899000000050	MUVINLAX LIB	MUVINLAX	LIB	LIBBS FARMACEUTICA
7899000000051	ENGOV HYP	ENGOV	HYP	HYPERA PHARMA
7899000000052	COLFLEX MAN	COLFLEX	MAN	HYPERA PHARMA
7899000000053	CLOR DE ONDANSETRONA BIO	CLOR DE ONDANSETRONA	BIO	BIOLAB
7899000000054	GALVUS NOV	GALVUS	NOV	NOVARTIS
7899000000055	TRAYENTA BOE	TRAYENTA	BOE	BOEHRINGER INGELHEIM
7899000000056	ONDIF MAN	ONDIF	MAN	HYPERA PHARMA
7899000000057	GLICLAZIDA PHA	GLICLAZIDA	PHA	PHARLAB
7899000000058	PANTOPRAZOL MED	PANTOPRAZOL	MED	MEDLEY
7899000000059	DIGEPLUS ACH	DIGEPLUS	ACH	ACHE LABORATORIOS FARMACEUTICOS SA
7899000000060	FLORAX HEB	FLORAX	HEB	HEBRON
7899000000061	MAGNESIA BISURADA ASP	MAGNESIA BISURADA	ASP	ASPEN
7899000000062	EXTENSIOR NND	EXTENSIOR	NND	NOVO NORDISK
7899000000063	SUGANON EUR	SUGANON	EUR	EUROFARMA
7899000000064	FIASP NND	FIASP	NND	NOVO NORDISK
7899000000065	COLIDIS ACH	COLIDIS	ACH	ACHE LABORATORIOS FARMACEUTICOS SA
7899000000066	MOBILITY OSCAL D (OPE)	MOBILITY OSCAL D (OPE)		OPELLA
7899000000067	ESIO EUR	ESIO	EUR	EUROFARMA
